data_registrazione,cumulativo,data_evento
2023-03-19,1,2023-08-25
2023-03-20,5,2023-08-25
2023-03-22,6,2023-08-25
2023-03-25,7,2023-08-25
2023-03-29,8,2023-08-25
2023-03-31,9,2023-08-25
2023-04-01,10,2023-08-25
2023-04-06,11,2023-08-25
2023-04-10,18,2023-08-25
2023-04-14,20,2023-08-25
2023-04-15,24,2023-08-25
2023-04-16,26,2023-08-25
2023-04-18,27,2023-08-25
2023-04-19,28,2023-08-25
2023-04-21,30,2023-08-25
2023-04-23,38,2023-08-25
2023-04-24,40,2023-08-25
2023-04-25,43,2023-08-25
2023-04-30,44,2023-08-25
2023-05-03,47,2023-08-25
2023-05-05,50,2023-08-25
2023-05-06,51,2023-08-25
2023-05-07,53,2023-08-25
2023-05-08,55,2023-08-25
2023-05-11,57,2023-08-25
2023-05-12,58,2023-08-25
2023-05-13,60,2023-08-25
2023-05-16,61,2023-08-25
2023-05-18,62,2023-08-25
2023-05-19,64,2023-08-25
2023-05-20,69,2023-08-25
2023-05-21,70,2023-08-25
2023-05-22,73,2023-08-25
2023-05-26,75,2023-08-25
2023-05-27,79,2023-08-25
2023-05-28,83,2023-08-25
2023-05-29,85,2023-08-25
2023-05-30,88,2023-08-25
2023-05-31,91,2023-08-25
2023-06-02,94,2023-08-25
2023-06-03,96,2023-08-25
2023-06-04,99,2023-08-25
2023-06-05,100,2023-08-25
2023-06-07,101,2023-08-25
2023-06-08,104,2023-08-25
2023-06-09,105,2023-08-25
2023-06-10,106,2023-08-25
2023-06-11,111,2023-08-25
2023-06-12,112,2023-08-25
2023-06-13,114,2023-08-25
2023-06-14,116,2023-08-25
2023-06-15,123,2023-08-25
2023-06-16,125,2023-08-25
2023-06-17,132,2023-08-25
2023-06-19,139,2023-08-25
2023-06-20,142,2023-08-25
2023-06-21,143,2023-08-25
2023-06-22,149,2023-08-25
2023-06-23,155,2023-08-25
2023-06-24,158,2023-08-25
2023-06-25,167,2023-08-25
2023-06-26,171,2023-08-25
2023-06-27,183,2023-08-25
2023-06-28,195,2023-08-25
2023-06-29,208,2023-08-25
2023-06-30,226,2023-08-25
2023-07-01,228,2023-08-25
2023-07-02,238,2023-08-25
2023-07-03,245,2023-08-25
2023-07-04,254,2023-08-25
2023-07-05,259,2023-08-25
2023-07-06,261,2023-08-25
2023-07-07,265,2023-08-25
2023-07-08,269,2023-08-25
2023-07-09,271,2023-08-25
2023-07-10,290,2023-08-25
2023-07-11,291,2023-08-25
2023-07-12,304,2023-08-25
2023-07-13,327,2023-08-25
2023-07-14,353,2023-08-25
2023-07-15,362,2023-08-25
2023-07-16,367,2023-08-25
2023-07-17,376,2023-08-25
2023-07-18,390,2023-08-25
2023-07-19,410,2023-08-25
2023-07-20,448,2023-08-25
2023-07-21,455,2023-08-25
2023-07-22,468,2023-08-25
2023-07-23,492,2023-08-25
2023-07-24,505,2023-08-25
2023-07-25,516,2023-08-25
2023-07-26,522,2023-08-25
2023-07-27,526,2023-08-25
2023-07-28,534,2023-08-25
2023-07-29,553,2023-08-25
2023-07-30,560,2023-08-25
2023-07-31,570,2023-08-25
2023-08-01,582,2023-08-25
2023-08-02,597,2023-08-25
2023-08-03,603,2023-08-25
2023-08-04,609,2023-08-25
2023-08-05,611,2023-08-25
2023-08-06,615,2023-08-25
2023-08-07,618,2023-08-25
2023-08-08,621,2023-08-25
2023-08-09,623,2023-08-25
2023-08-10,627,2023-08-25
2023-08-11,632,2023-08-25
2023-08-12,635,2023-08-25
2023-08-13,655,2023-08-25
2023-08-14,658,2023-08-25
2023-08-15,661,2023-08-25
2023-08-16,663,2023-08-25
2023-08-17,669,2023-08-25
2023-08-18,672,2023-08-25
2023-08-19,678,2023-08-25
2023-08-20,682,2023-08-25
2023-08-21,685,2023-08-25
2023-08-22,689,2023-08-25
2023-08-23,690,2023-08-25
2023-08-24,691,2023-08-25
